id_knjige,naslov,avtor,povp_ocena,st_ocen,st_recenzij,leto_izdaje,st_strani,jezik,st_trenutnih_bralcev,zanri
3241366,"Magic to the Bone (Allie Beckstrom, #1)",Devon Monk,3.67,13406,922,2008,355,English,338,"Urban Fantasy, Fantasy, Paranormal, Magic, Romance, Fiction, Paranormal Romance, Adult, Audiobook, Mystery"
66317,"Through Wolf's Eyes (Firekeeper Saga, #1)",Jane Lindskold,3.99,7156,339,2002,579,English,199,"Fantasy, Fiction, High Fantasy, Magic, Wolves, Adult, Animals, Adventure, Science Fiction Fantasy, Epic Fantasy"
33820,Up Country,Nelson DeMille,4.09,20841,1005,2003,859,English,1386,"Fiction, Thriller, Mystery, Mystery Thriller, Suspense, Historical Fiction, Military Fiction, Audiobook, War, Crime"
23355220,"The Leopard (Harry Hole, #8)",Jo Nesbø,4.1,63000,3734,2009,634,English,1905,"Crime, Mystery, Fiction, Thriller, Mystery Thriller, Scandinavian Literature, Nordic Noir, Audiobook, Detective, Suspense"
13659,"Tales from Earthsea (Earthsea Cycle, #5)",Ursula K. Le Guin,4.09,31476,1813,2003,280,English,1870,"Fantasy, Fiction, Short Stories, Young Adult, High Fantasy, Audiobook, Science Fiction Fantasy, Dragons, Science Fiction, Magic"
30312891,"Lord of Shadows (The Dark Artifices, #2)",Cassandra Clare,4.4,156915,17881,2017,699,English,6147,"Fantasy, Young Adult, Romance, Urban Fantasy, Paranormal, Young Adult Fantasy, Fiction, Audiobook, Magic, LGBT"
36458393,White Fragility: Why It's So Hard for White People to Talk About Racism,Robin DiAngelo,4.16,170579,19136,2018,186,English,39625,"Nonfiction, Race, Social Justice, Audiobook, Politics, Anti Racist, Sociology, Book Club, History, Psychology"
53457092,"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,4.18,99911,17110,2021,454,English,5183,"Fantasy, Young Adult, Romance, Retellings, Fiction, Mythology, Young Adult Fantasy, Dragons, Magic, Audiobook"
16442,The Dream of Scipio,Iain Pears,3.76,4470,462,2003,417,English,260,"Historical Fiction, Fiction, Mystery, Historical, France, Literary Fiction, Literature, Philosophy, Novels, Medieval"
8546358,The Peach Keeper,Sarah Addison Allen,3.86,64491,7202,2011,273,English,1344,"Fiction, Magical Realism, Romance, Chick Lit, Fantasy, Contemporary, Mystery, Book Club, Adult, Audiobook"
